,context,word,split
0,as English.  Anglo-Norman language,The,train
1,and continued  until World,trading,train
2,"line ""Flung  the Heedless",to,train
3,1525 to  he established,"1529,",train
4,in use  along with,"today,",train
5,displaying a  of colour,richness,train
6,who headed  the Niagara,up,train
7,SAT solvers  handle large,routinely,train
8,"a Norse-speaking  class, and",ruling,train
9,"violin pieces  Maria"" and","""Ave",train
10,is unknown.Since  can affect,teachers,train
11,multiplication of  integers can,two,train
12,"secondary teachers  $46,000 in",was,train
13,are called  theorems because,hierarchy,train
14,reconstructible form  nonetheless eradicated,were,train
15,its own  could broadcast,that,train
16,of the  population and,Jewish,train
17,if the  received it,other,train
18,hearing the  of an,name,train
19,it is  that the,said,train
20,but nowadays  punishment is,the,train
21,"rock, which  call the",we,train
22,of discipline.[citation  Such individuals,needed],train
23,expelled. Polish  deaths are,civilian,train
24,of the  and precedes,Anglo-Saxon,train
25,"against Luther,  served only",which,train
26,assistant of  Archbishop of,the,train
27,"more accessible,  had a",which,train
28,They were  alongside Varangian,prominent,train
29,the detection  correction of,and,train
30,[O.S. 28  1856 into,June],train
31,school discipline  if teachers,and,train
32,Królikarnia Palace  situated on,is,train
33,was heard  miles away,15,train
34,"more dramatic  of words.""Over",form,train
35,demonstrated in  classic work,his,train
36,"conceptions, as  of curved",that,train
37,"due to  economic growth,",solid,train
38,"C and  for C,",hard,train
39,study these  and quantifying,problems,train
40,is one  the most,of,train
41,42-yard pass  Corey Brown.,to,train
42,"Tesla received  highest honor,",AIEE's,train
43,Union. The  resumed its,city,train
44,"work[ed] out  problem, comparing",a,train
45,and denunciations  the magistracy.,of,train
46,materials and  can affect,students,train
47,entered the  as warriors,Mezzogiorno,train
48,"loben schon""  should now","(""We",train
49,"of Einstein's  of relativity,",theory,train
50,1538 and  He also,1540.,train
51,transmission in  Tesla quipped,"1901,",train
52,a refuge  the anabaptist,in,train
53,30 days  override the,to,train
54,"of the  of Trier,",Archbishop,train
55,facing foreclosure  before construction,even,train
56,specified professional  or credentials,qualifications,train
57,many educational  especially within,institutions,train
58,"sexual abuse  any professional,",by,train
59,seat of  Roman Catholic,a,train
60,the soul  purgatory (also,from,train
61,"instance, if  problem X",a,train
62,Exchange. Upon  Tesla realized,"arrival,",train
63,of any  and its,"type,",train
64,Scotland's southern  William invaded,borders.,train
65,of the  in East-Central,largest,train
66,did not  any known,have,train
67,NP is  the same,not,train
68,Catholicism (Christianity)  the Gallo-Romance,and,train
69,player introductions  a replica,on,train
70,righteousness by  Catholic Church,the,train
71,"home craft  mechanical appliances,","tools,",train
72,CBS mandated  all advertisers,that,train
73,"Islamic tradition  Sufism, the",of,train
74,"Luther, who  sent the",had,train
75,and became  to gambling.,addicted,train
76,administrators and  may regard,governors,train
77,Church is  to that,similar,train
78,"especially its  centre (Śródmieście),",city,train
79,solved in  space) is,logarithmic,train
80,"the cocky,  the timid,",encourage,train
81,on a  levels deep,few,train
82,satisfy a  Colorado experiments,debt.The,train
83,arena. He  accompanied the,often,train
84,"constituted 219,000  34% percent).",(around,train
85,"law,"" he  ""Faith is",wrote.,train
86,reimburse San  for city,Francisco,train
87,parental rights  Fears of,groups.,train
88,"for external  security, has",border,train
89,in the  round of,divisional,train
90,the law  God and,of,train
91,the controversy  of the,one,train
92,Limassol.Various princes  the Holy,of,train
93,Canterbury in  attempt to,an,train
94,"the world's  power house""",his,train
95,after these  neither Tesla,"rumors,",train
96,entitlement is  car registration:,a,train
97,the title  count in,of,train
98,enters his  (sub noctem,bedchamber,train
99,with the  of an,aid,train
100,war bands  the rivers,into,train
101,Super Bowl  Super Bowl,in,train
102,Saracens and  and an,"Byzantines,",train
103,a special  to begin,diploma,train
104,his bladeless  engines were,turbine,train
105,an interception.  End Charles,Defensive,train
106,Bowl winning  The previous,team.,train
107,hierarchy theorem  us that,tells,train
108,developed into  shutdown corner,a,train
109,"problematic. Although,  schools have","officially,",train
110,but attempt  find new,to,train
111,50th Super  the pregame,"Bowl,",train
112,year for  large fee,the,train
113,game earlier  the 2015,in,train
114,and took  princes of,Limassol.Various,train
115,could be  to one.Near,reduced,train
116,as the  of the,parable,train
117,car manufacturer  which assembled,"Daewoo,",train
118,Germany by  Roman Catholic,the,train
119,peasants to  he would,believe,train
